Come and See Me (feat. Drake),PARTYNEXTDOOR,PARTYNEXTDOOR 3 (P3)
No Role Modelz,J. Cole,2014 Forest Hills Drive
Water,Ugly God,The Booty Tape
Break from Toronto,PARTYNEXTDOOR,PARTYNEXTDOOR
Skateboard P (feat. Big Sean),MadeinTYO,Skateboard P (feat. Big Sean)
Ric Flair Drip (with Metro Boomin),Offset,Without Warning
X (feat. Future),21 Savage,Savage Mode
pick up the phone,Young Thug,pick up the phone
No Flockin',Kodak Black,No Flockin'
Lord Pretty Flacko Jodye 2 (LPFJ2),A$AP Rocky,AT.LONG.LAST.A$AP
Digits,Young Thug,Slime Season 3
r - Cali,A$AP Rocky,"The Music of Grand Theft Auto V, Vol. 1: Original Music"
Thought It Was a Drought,Future,DS2 (Deluxe)
Yamborghini High (feat. Juicy J),A$AP Mob,Yamborghini High (feat. Juicy J)
Best Friend,Young Thug,Best Friend
March Madness,Future,56 Nights
Check,Young Thug,Barter 6
F*ck Up Some Commas,Future,DS2 (Deluxe)
Lockjaw (feat. Kodak Black),French Montana,MONTANA
Married To The Game,Future,Project E.T.
Stick Talk,Future,DS2 (Deluxe)
Kelly Price (feat. Travis Scott),Migos,Culture
"Guwop (feat. Quavo, Offset and Young Scooter)",Young Thug,JEFFERY
With That (feat. Duke),Young Thug,Barter 6
No Complaints (feat. Offset & Drake) (Bonus),Metro Boomin,NOT ALL HEROES WEAR CAPES (Deluxe)
Too Hotty,Quality Control,Quality Control: Control The Streets Volume 1
"Floyd Mayweather (feat. Travis Scott, Gucci Mane and Gunna)",Young Thug,JEFFERY
Hercules,Young Thug,I'm Up
Tomorrow 'Til Infinity (feat. Gunna),Young Thug,Beautiful Thugger Girls
With Them,Young Thug,Slime Season 3
Memo,Young Thug,Slime Season 3
Halftime,Young Thug,Barter 6
Draco,Future,FUTURE
Call Casting,Migos,Culture
Peek A Boo,Lil Yachty,Teenage Emotions
Webbie (feat. Duke),Young Thug,JEFFERY
Slave Master,Future,DS2 (Deluxe)
Never Had It (feat. Young Dolph),Young Thug,Barter 6
Dome (feat. Duke),Young Thug,Barter 6
Blood On the Money,Future,DS2 (Deluxe)
Rotation,Future,DS2 (Deluxe)
Just Might Be,Young Thug,Barter 6
Dream (feat. Yak Gotti),Young Thug,Barter 6
Numbers,Young Thug,Barter 6
Knocked Off (feat. Birdman),Young Thug,Barter 6
Drippin',Young Thug,Slime Season 3
Tattoos,Young Thug,Slime Season 3
See You,Rich Homie Quan,Rich Homie Cartel Vol 1
For My People (feat. Duke),Young Thug,I'm Up
Constantly Hating (feat. Birdman),Young Thug,Barter 6
Future Swag,Young Thug,JEFFERY
Swizz Beatz,Young Thug,JEFFERY
Purple Comin In,Future,56 Nights
Good Dope,Future,FUTURE
Three,Future,SUPER SLIMEY
No Compadre,Future,56 Nights
Salute,Future,Purple Reign
Scrape,Future,FUTURE
In Her Mouth,Future,EVOL
Super Trapper,Future,FUTURE
Baby Girl,21 Savage,Issa Album
Feed Me Dope,Future,SUPER SLIMEY
Drip on Me,Future,SUPER SLIMEY
Bad Business,21 Savage,Issa Album
Money Convo,21 Savage,Issa Album
Commando,Migos,YRN 2 (Young Rich Niggas 2)
Rent Money,Future,FUTURE
No Cap,Future,SUPER SLIMEY
Call the Coroner,Future,Future Hndrxx Presents: The WIZRD
Real Love,Future,SUPER SLIMEY
